,Scientific Name,Common Name,Locality,Latitude,Longitude,Date,mediaDownloadUrl
1019,Ceyx erithaca,Black-backed Dwarf-Kingfisher,"Murud, Raigad, Roha, Maharashtra 402401, India",18.4049302,72.9379696,13-Aug-2020,https://static.inaturalist.org/photos/89735686/medium.jpg?1597324157
1020,Halcyon smyrnensis,White-throated Kingfisher,"BPS, Mulund East, Mumbai, Maharashtra, India",19.14192483,72.96462536,14-Aug-2020,https://static.inaturalist.org/photos/89885204/medium.jpg?1597404151
1021,Halcyon smyrnensis,White-throated Kingfisher,"Mulund East, Mumbai, Maharashtra, India",19.14192483,72.96462536,14-Aug-2020,https://static.inaturalist.org/photos/89889522/medium.jpg?1597406863
1022,Alcedo atthis,Common Kingfisher,"Mulund East, Mumbai, Maharashtra, India",19.14192483,72.96462536,15-Aug-2020,https://static.inaturalist.org/photos/90040091/medium.jpg?1597486717
1023,Halcyon smyrnensis,White-throated Kingfisher,"Dhamapur Lake, Maharashtra",16.0405923,73.5925378,15-Aug-2020,https://static.inaturalist.org/photos/90042175/medium.jpg?1597488097
1024,Ceryle rudis,Pied Kingfisher,"Nagpur, Maharashtra 441401, India",21.6359126,79.2322786,15-Aug-2020,https://static.inaturalist.org/photos/90043125/medium.jpg?1597488684
1025,Halcyon smyrnensis,White-throated Kingfisher,"Nagpur, Maharashtra 441401, India",21.6359126,79.2322786,15-Aug-2020,https://static.inaturalist.org/photos/90043130/medium.jpg?1597488687
1026,Alcedo atthis,Common Kingfisher,"Seawoods, Navi Mumbai, Maharashtra, India",19.0171035,73.0175089,15-Aug-2020,https://static.inaturalist.org/photos/90043947/medium.jpg?1597489196
1027,Ceyx erithaca,Black-backed Dwarf-Kingfisher,"Abloli, Maharashtra, India",17.3389346,73.3325516,15-Aug-2020,https://static.inaturalist.org/photos/90045752/medium.jpg?1597490649
1028,Ceyx erithaca,Black-backed Dwarf-Kingfisher,"Abloli, Maharashtra, India",17.3389346,73.3325516,15-Aug-2020,https://static.inaturalist.org/photos/90045761/medium.jpg?1597490653
1029,Ceyx erithaca,Black-backed Dwarf-Kingfisher,"CEC - BNHS, Goregaon, Mumbai, Maharashtra, India",19.16321749,72.8917996,15-Aug-2020,https://static.inaturalist.org/photos/90045905/medium.jpg?1597490741
1030,Ceyx erithaca,Black-backed Dwarf-Kingfisher,"CEC - BNHS, Goregaon, Mumbai, Maharashtra, India",19.16321749,72.8917996,15-Aug-2020,https://static.inaturalist.org/photos/90045910/medium.jpg?1597490744
1031,Ceyx erithaca,Black-backed Dwarf-Kingfisher,"CEC - BNHS, Goregaon, Mumbai, Maharashtra, India",19.16321749,72.8917996,15-Aug-2020,https://static.inaturalist.org/photos/90045913/medium.jpg?1597490747
1032,Alcedo atthis,Common Kingfisher,"O-1, Eastern Express Hwy, Jaihind Colony, Tata Colony, Mulund East, Mumbai, Maharashtra 400081, India",19.1505534,72.9564893,15-Aug-2020,https://static.inaturalist.org/photos/90048002/medium.jpg?1597492096
1033,Halcyon smyrnensis,White-throated Kingfisher,"Bhandup Pumping Station, Mumbai, Maharashtra, India",19.14192483,72.96462536,15-Aug-2020,https://static.inaturalist.org/photos/90062866/medium.jpg?1597499229
1034,Halcyon smyrnensis,White-throated Kingfisher,"Solapur, Maharashtra, India",17.6599188,75.9063906,15-Aug-2020,https://static.inaturalist.org/photos/90073917/medium.jpg?1597503457
1035,Alcedo atthis,Common Kingfisher,"Maharashtra, IN",19.17223929,72.95511157,20-Aug-2020,https://static.inaturalist.org/photos/90925864/medium.jpeg?1597933170
1036,Alcedo atthis,Common Kingfisher,"Nanded City, Nanded, Pune, Maharashtra 411041, India",18.4601246,73.7858437,23-Aug-2020,https://static.inaturalist.org/photos/91510007/medium.jpg?1598213993
1038,Halcyon smyrnensis,White-throated Kingfisher,"Race Course, Camp, Pune, Maharashtra 411001, India",18.51322219,73.89762606,27-Aug-2020,https://static.inaturalist.org/photos/92077573/medium.jpeg?1598506317
1039,Halcyon smyrnensis,White-throated Kingfisher,Jalochi,18.15282423,74.6071022,30-Aug-2020,https://static.inaturalist.org/photos/92532384/medium.jpeg?1598747303
1040,Halcyon smyrnensis,White-throated Kingfisher,"Mulund East, Mumbai, Maharashtra, India",19.14150048,72.96233215,31-Aug-2020,https://static.inaturalist.org/photos/92773885/medium.jpg?1598856524
1041,Alcedo atthis,Common Kingfisher,"Mulund East, Mumbai, Maharashtra, India",19.14071077,72.96029666,31-Aug-2020,https://static.inaturalist.org/photos/92773932/medium.jpg?1598856605
