Scientific_Name,Common_Name,Locality,Latitude,Longitude,Date,mediaDownloadUrl
Acridotheres tristis,Common Myna,"Window of House, Killa Road, Vasai-Virar, Maharashtra, IN (19.339, 72.807)",19.3388,72.8071,03/05/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Acridotheres tristis,Common Myna,Bhuigaon Village-- Vasai,19.3851,72.7727,10/01/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Acridotheres tristis,Common Myna,Bhuigaon Village-- Vasai,19.3851,72.7727,10/01/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Acridotheres tristis,Common Myna,"Padlegaon, Navi Mumbai",19.1692,73.0548,14/07/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Acridotheres tristis,Common Myna,Karvenagar Nala,18.4981,73.8293,02/06/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Acridotheres tristis,Common Myna,NCCS Guest house,18.5472,73.8317,07/09/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Acridotheres tristis,Common Myna,Mogara Nallah,19.149,72.8238,19/02/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Acridotheres tristis,Common Myna,Kharghar Mangroves,19.0247,73.069,02/12/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Acridotheres tristis,Common Myna,Tarzon Lake or Talzon Lake,19.2183,72.8148,13/01/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Acridotheres tristis,Common Myna,Satpool Wetlands,19.2353,73.0761,04/11/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Acridotheres tristis,Common Myna,KORADI,21.2604,79.0876,11/03/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Acridotheres tristis,Common Myna,"Bhusawal Thermal Power Station (BTPS), Deepnagar",21.0431,75.848,09/08/2015,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Acridotheres tristis,Common Myna,"Girna Pumping Station, Savkhede Bk., Jalgaon, Maharashtra",20.9892,75.5163,29/10/2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
Acridotheres tristis,Common Myna,"Samajik vanikarn ,Shivaji Udyan,Meharun , Jalgaon",20.9867,75.5689,19/04/2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
