,Unnamed: 0,Scientific_Name,Common_Name,Locality,Latitude,Longitude,Date,mediaDownloadUrl
796,797,Alcedo atthis,Common Kingfisher,"Dare Kh., Maharashtra 415002, India",17.68247701,73.97297072,09/03/2017,https://static.inaturalist.org/photos/10191450/medium.jpg?1504419583
797,798,Alcedo atthis,Common Kingfisher,"Mumbai, Maharashtra India",19.22765724,72.87213106,16/10/2017,https://www.inaturalist.org/assets/copyright-infringement-medium.png
798,799,Halcyon smyrnensis,White-throated Kingfisher,"Nanded, Pune, Maharashtra, India",18.44838741,73.77585411,29/10/2017,https://static.inaturalist.org/photos/11499939/medium.jpeg?1509292667
799,800,Halcyon smyrnensis,White-throated Kingfisher,"Chandrapur, IN-MH, IN",19.96135188,79.30119914,23/11/2017,https://static.inaturalist.org/photos/11984863/medium.jpeg?1511416009
800,801,Halcyon smyrnensis,White-throated Kingfisher,"Mumbai, Maharashtra, India",19.001376,72.861017,12/12/2017,https://static.inaturalist.org/photos/12342318/medium.jpeg?1513067828
801,802,Halcyon smyrnensis,White-throated Kingfisher,"Rajmudra society, Dhankawadi, Pune, Maharashtra 411043, India",18.46316415,73.85147933,27/01/2018,https://static.inaturalist.org/photos/13147352/medium.jpeg?1517057045
802,803,Ceryle rudis,Pied Kingfisher,"Paud Gaon, Mulshi Road, Pune, Maharashtra 412108, India",18.529488100000002,73.6179246,28/01/2018,https://static.inaturalist.org/photos/13169636/medium.jpeg?1517150632
803,804,Alcedo atthis,Common Kingfisher,"Ahmadnagar, IN-MH, IN",19.086263,74.43715,29/01/2018,https://static.inaturalist.org/photos/13193122/medium.jpeg?1517243918
804,814,Halcyon smyrnensis,White-throated Kingfisher,"Kinhi, Maharashtra, India",19.094946,74.43411,05/12/2018,https://static.inaturalist.org/photos/17826719/medium.jpeg?1526105131
805,815,Ceyx erithaca,Black-backed Dwarf-Kingfisher,"Maharashtra 410207, India",18.86176547,73.13256685,28/06/2018,https://static.inaturalist.org/photos/20445660/medium.jpeg?1530163044
806,816,Halcyon smyrnensis,White-throated Kingfisher,"Dhankawadi, Pune, Maharashtra, India",18.46339774,73.85153424,15/07/2018,https://static.inaturalist.org/photos/21373356/medium.jpg?1531639333
807,817,Ceyx erithaca,Black-backed Dwarf-Kingfisher,"Chiplun, Maharashtra, India",17.532310600000002,73.5177928,13/08/2018,https://static.inaturalist.org/photos/23065367/medium.jpg?1534175208
808,818,Ceyx erithaca,Black-backed Dwarf-Kingfisher,"Maharashtra 412108, India",18.45606869,73.45182918,26/09/2018,https://static.inaturalist.org/photos/25611798/medium.jpg?1537998873
809,819,Halcyon smyrnensis,White-throated Kingfisher,"District de Chandrapur, Maharashtra, Inde",20.327525,79.3066,11/10/2018,https://static.inaturalist.org/photos/27963385/medium.jpg?1541840996
810,820,Alcedo atthis,Common Kingfisher,"Pandharpauni, Maharashtra 442906, Inde",20.36758667,79.30271667,11/11/2018,https://static.inaturalist.org/photos/28009931/medium.jpg?1541954363
811,821,Halcyon smyrnensis,White-throated Kingfisher,"Ujani Dam, Pune, Maharashtra, IN",18.25481417,74.82358408,12/08/2018,https://static.inaturalist.org/photos/28945974/medium.jpg?1544236645
812,822,Halcyon smyrnensis,White-throated Kingfisher,"Raigad, Maharashtra, India",18.89156575,73.12329179,12/09/2018,https://static.inaturalist.org/photos/28998211/medium.jpg?1544367118
813,823,Alcedo atthis,Common Kingfisher,"Kolshet Creek, Thane West, Thane, Maharashtra, India",19.23593812,72.99828347,12/12/2018,https://static.inaturalist.org/photos/29100059/medium.jpg?1544627967
814,844,Ceryle rudis,Pied Kingfisher,"Panje, Navi Mumbai, Maharashtra 400702, India",18.899928,72.952027,13/01/2019,https://static.inaturalist.org/photos/30202635/medium.jpg?1547397428
815,845,Alcedo atthis,Common Kingfisher,"Panje, Navi Mumbai, Maharashtra 400702, India",18.899928,72.952027,14/01/2019,https://static.inaturalist.org/photos/30237907/medium.jpg?1547471419
816,846,Halcyon smyrnensis,White-throated Kingfisher,"Kothrud, Pune, Maharashtra, India",18.49103724,73.80279957,02/07/2019,https://static.inaturalist.org/photos/31148760/medium.jpeg?1549553959
817,847,Alcedo atthis,Common Kingfisher,kranti flemingo point,18.263385999999997,74.804227,17/02/2019,https://static.inaturalist.org/photos/31535921/medium.jpg?1550427198
818,848,Halcyon smyrnensis,White-throated Kingfisher,kasarsai dam,18.620089,73.65509300000001,18/02/2019,https://static.inaturalist.org/photos/31578414/medium.jpg?1550506934
819,849,Alcedo atthis,Common Kingfisher,"Thane, IN-MH, IN",19.14408944,73.07748098,25/02/2019,https://static.inaturalist.org/photos/32005600/medium.jpeg?1551110105
820,850,Halcyon smyrnensis,White-throated Kingfisher,"Gokulpeth, Nagpur, Maharashtra 440010, India",21.1445295,79.05796966,26/03/2019,https://static.inaturalist.org/photos/33508920/medium.jpeg?1553636658
821,851,Halcyon smyrnensis,White-throated Kingfisher,Nimshirgaon,16.7748626,74.48626567,04/04/2019,https://static.inaturalist.org/photos/34055906/medium.jpeg?1554350699
822,852,Halcyon smyrnensis,White-throated Kingfisher,"Malabar Hill, Mumbai, Maharashtra 400006, India",18.955412,72.804525,17/04/2019,https://static.inaturalist.org/photos/35037678/medium.jpeg?1555520546
