,Unnamed: 0,Scientific_Name,Common_Name,Locality,Latitude,Longitude,Date,mediaDownloadUrl
46,47,Anas poecilorhyncha,Indian Spot-billed Duck,Narsoba Wadi Temple,16.6921,74.6015,31/03/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
47,48,Anas poecilorhyncha,Indian Spot-billed Duck,Narsoba Wadi Temple,16.6921,74.6015,31/03/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
48,49,Anas poecilorhyncha,Indian Spot-billed Duck,Narsoba Wadi Temple,16.6921,74.6015,31/03/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
49,50,Anas poecilorhyncha,Indian Spot-billed Duck,Narsoba Wadi Temple,16.6921,74.6015,31/03/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
50,51,Anas poecilorhyncha,Indian Spot-billed Duck,Kavdi Pat,18.5054,74.0006,16/04/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
51,52,Anas poecilorhyncha,Indian Spot-billed Duck,"Ambazari Lake, Nagpur",21.1292,79.0329,14/04/2018,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
52,53,Anas poecilorhyncha,Indian Spot-billed Duck,Shirsoli P.B.,20.9334,75.5467,30/07/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
53,54,Anas poecilorhyncha,Indian Spot-billed Duck,shreeprastha wet lands,19.426,72.8066,08/07/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
54,55,Anas poecilorhyncha,Indian Spot-billed Duck,Dhayari Phata to Viman Nagar,18.4613,73.8134,22/03/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
55,56,Anas poecilorhyncha,Indian Spot-billed Duck,Dhayari Phata to Viman Nagar,18.4613,73.8134,22/03/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
56,57,Anas poecilorhyncha,Indian Spot-billed Duck,Indian Institute of Technology (IIT) Bombay,19.1279,72.9136,19/02/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
57,58,Anas poecilorhyncha,Indian Spot-billed Duck,Kavdi Pat,18.5054,74.0006,08/01/2017,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
58,59,Anas poecilorhyncha,Indian Spot-billed Duck,Khadakwasla Dam,18.4295,73.758,25/12/2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
59,60,Anas poecilorhyncha,Indian Spot-billed Duck,"Mehrun Lake, Tambapura, Jalgaon, Maharashtra",20.9804,75.5651,23/10/2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
60,61,Anas poecilorhyncha,Indian Spot-billed Duck,Gogte saltpans vasai,19.4077,72.8185,13/08/2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
61,62,Anas poecilorhyncha,Indian Spot-billed Duck,Sarita Nagari Phase 1,18.4968,73.8352,17/10/2020,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
62,63,Anas poecilorhyncha,Indian Spot-billed Duck,Popatkhed,21.2104,77.0786,21/02/2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
63,64,Anas poecilorhyncha,Indian Spot-billed Duck,Indian Institute of Technology (IIT) Bombay,19.1279,72.9136,15/02/2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
64,65,Anas poecilorhyncha,Indian Spot-billed Duck,Kopar Wetlands- Juni Dombivli - Ganesh Ghat,19.2191,73.0704,09/08/2019,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
65,66,Anas poecilorhyncha,Indian Spot-billed Duck,"Thane creek Flamingo sanctuary, Airoli",19.15,72.9804,21/02/2016,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
66,67,Anas poecilorhyncha,Indian Spot-billed Duck,Gularghat,21.2581,77.0324,13/12/2015,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
67,68,Anas poecilorhyncha,Indian Spot-billed Duck,"Mehrun Lake, Tambapura, Jalgaon, Maharashtra",20.9804,75.5651,30/11/2015,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/
